name,description,cost,color_limits,color_preference,notes,sun,type,marketing,img_url
(#4) Yellow/White Combo,"Yellow calibrachoa, purple w/ white petunia, white verbena",15,,F,,Sun,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/111361.jpg
(#5)  Pink Combo,"Deep pink calibrachoa, purple rose petunia, dark pink verbena",15,,F,,Sun,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/54280.jpg
(#6)  Red/White Combo,"Red geranium, white verbena",15,,F,,Sun,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,http://www.powerflowers.com/files/images/fire%20and%20ice%202015%20w%20logo%20web.jpg
(#7)  Double Impatiens,"Pink, purple and white double impatiens",15,,F,,Shade,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/max_width/ifa_upload/rockapulco_white_0.jpg
(#8)  SHADE Combo,Non-stop Begonia (in various colors) & creeping jenny (lime green),15,,F,,Shade,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/101645.jpg
Impatiens,,13,Blue Pearl (pastel lt.purple);Lilac (deep purple/pink);Lipstick (Hot Pink);Pink;Red;Salmon;Violet (dk. violet/purple);White;Mixed,T,,Shade,FLATS OF ANNUALS,,http://www.american-farms.com/photogallery/se%20blue%20pearl%20bed.JPG
Alyssum,,13,Purple;White,T,,Sun,FLATS OF ANNUALS,,http://northamericanfarmer.com/flower-patch/images/flower/Alyssum.jpg
Begonias ,,13,Bronze Leaf Red;Bronze Leaf Rose/Pink;Bronze Leaf White;Bronze Leaf Mixed;Green Leaf Red;Green Leaf Rose/Pink;Green Leaf White;Green Leaf Mixed,T,,Shade,FLATS OF ANNUALS,,http://thumbs.dreamstime.com/x/flower-begonia-21591513.jpg
Cosmos (Mixed),,13,,F,,Sun,FLATS OF ANNUALS,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRccuFCSMAh98AyN-ueMjqP-l6WqFSWfRWID2yzumIDeexFlm3Qeg
Dahlia (Mixed),,13,,F,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/dahlightful_lively_lavender_tagimage_0.jpg
Dianthus (Mixed),,13,,F,,Sun,FLATS OF ANNUALS,,https://c2.provenwinners.com/sites/provenwinners.com/files/images/articles/dianthus-coconut-punch.jpg
Lobelia,,13,Blue,T,,Part Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/93318.jpg
Marigolds,,13,Bonanza Bee (Yellow-orange);Bonanza Yellow;Bonanza Orange;Bonanza Mixed,T,,Sun,FLATS OF ANNUALS,,http://www.2bseeds.com/images/marigoldbonanzabolero.jpg
Hybrid Marigolds,,13,Orange;Yellow;Vanilla (Sweet Cream),T,,Sun,FLATS OF ANNUALS,,http://demandware.edgesuite.net/sits_pod38/dw/image/v2/ABAQ_PRD/on/demandware.static/-/Sites-masterCatalog_Burpee/default/dw232efacc/Images/Product%20Images/prod000265/prod000265.jpg?sw=322&sh=380&sm=fit
Moss Rose (Mixed),,13,,F,,Sun,FLATS OF ANNUALS,,http://www.gardencrossings.com/_ccLib/image/plants/DETA-1927.jpg
Nicotiana  (Mixed),,13,,F,,Sun,FLATS OF ANNUALS,,https://c2.provenwinners.com/sites/provenwinners.com/files/articles/featured-images/pw_basket_2013-25.jpg
Pansy  (Mixed),,13,,F,,Part Sun,FLATS OF ANNUALS,,https://s-media-cache-ak0.pinimg.com/736x/09/38/29/093829688069ac936d8c59bdcd99008f.jpg
Double Petunia  (Mixed),,13,,F,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/5179_20.jpg
Petunias,,13,Purple;Red;Yellow;Pink;White;Mixed,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/supertunia_mini_rose_veined_improved.jpg
Salvia,,13,Red;Tall Red;Victoria Blue,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/pw_salvia_playin_the_blues.jpg
Snapdragon,,13,Dwarf Mixed;Tall Mixed,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/angelface_wedgewood_blue_improved_0.jpg
Vinca,,13,Mixed;Red;White/Eye,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/coracascadecherr_tag_02.jpg
Zinnia,,13,Dwarf Mixed,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/zinniamagellanyellow_1.jpg
Coleus,,13,Mixed,T,,Shade,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/19889.jpg
Dusty Miller,,13,Silver,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/19384.jpg
Coleus:  1/2 Flat,,7,Mixed,T,,Shade,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/19889.jpg
Dusty Miller:  1/2 Flat,,7,Silver,T,,Sun,FLATS OF ANNUALS,,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/19384.jpg
Spikes,,2,,F,,,"GREENS OR SPIKES - 3.5"" POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/48800.jpg
Sprengeri,,2,,F,,,"GREENS OR SPIKES - 3.5"" POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/asparagusspringeri.jpg
Vinca Vine,,2,,F,,,"GREENS OR SPIKES - 3.5"" POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/48061.jpg
Green Ipomea (Sweet Potato Vine),,2,,F,,,"GREENS OR SPIKES - 3.5"" POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/5463_30.jpg
Geraniums,,1.5,Violet (Hot Pink);Deep Red;Pink;White,T,,Sun,"4"" POTTED GERANIUMS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/max_width/ifa_upload/21252.jpg
Double Impatiens,,4,Pink;Lavender;Salmon;White,T,,Shade,"4.3"" PREMIUM ANNUAL POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/rockapulco_rose_0.jpg
New Guinea Impatiens,,4,White;Pink;Purple;Red;Lavender,T,,Part Sun,"4.3"" PREMIUM ANNUAL POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/rockapulco_apple_blossom_0.jpg
Bacopa,,4,White,T,,Part Sun,"4.3"" PREMIUM ANNUAL POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/83120.jpg
Calibrachoa,,4,Red;Purple;White;Pink;Yellow,T,,Sun,"4.3"" PREMIUM ANNUAL POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/66586.jpg
Gerbera Daisy ,,4,Mixed,T,,Sun,"4.3"" PREMIUM ANNUAL POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/hello_magentamen_tagimage.jpg
Wave Petunias,,8,Blue Wave (Dark purple);Red Wave;Pink Wave;White Wave;Purple Wave (Magenta),T,,Sun,"3"" POTTED WAVE PETUNIAS - 6 pots per pack",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/supertunia_rasberry_blast_variety.jpg
Peppers,,2,Green Bell;Yellow Bell;Red Bell;Jalapeno,T,,,VEGETABLES  - 4 plants per cluster,These vegetables are 50 cents a plant!!!  Great deal!!,http://www.parkswholesaleplants.com/wp-content/uploads/2009/02/Jupiter-Green-Bell-Pepper.jpg
Tomatoes,,2,Beefsteak;Roma;Big Boy;Sweet 100 (cherry tomatoes),T,,,VEGETABLES  - 4 plants per cluster,These vegetables are 50 cents a plant!!!  Great deal!!,http://www.whiteflowerfarm.com/mas_assets/cache/image/9/1/3/2323.Jpg
Herbs,,4,Cilantro;Parsley;Basil (Sweet Italian);Dill;Thyme;Oregano (Italian);Mint,T,,,"**HERBS** - 4"" potted herbs",,http://3.bp.blogspot.com/-LjV_a_jZQow/TcoqwzauAUI/AAAAAAAABpI/54M-86rgvLQ/s1600/HealthBenefits-of-Parsley-and-Cilantro.jpg
