"name","color","type","sum"
"New Guinea Impatiens","Lavender","4.3"" PREMIUM ANNUAL POTS",6
"New Guinea Impatiens","Pink","4.3"" PREMIUM ANNUAL POTS",12
"New Guinea Impatiens","Purple","4.3"" PREMIUM ANNUAL POTS",0
"New Guinea Impatiens","Red","4.3"" PREMIUM ANNUAL POTS",6
"New Guinea Impatiens","Red/Pink","10"" HANGING BASKETS",3
"New Guinea Impatiens","White","4.3"" PREMIUM ANNUAL POTS",7
"New Guinea Impatiens","","10"" HANGING BASKETS",3
"Nicotiana  (Mixed)","","FLATS OF ANNUALS",1
"Pansy  (Mixed)","","FLATS OF ANNUALS",3
"Peppers","Green Bell","VEGETABLES  - 4 plants per cluster",12
"Peppers","Jalapeno","VEGETABLES  - 4 plants per cluster",14
"Peppers","Red Bell","VEGETABLES  - 4 plants per cluster",11
"Peppers","Yellow Bell","VEGETABLES  - 4 plants per cluster",9
"Petunias","Mixed","FLATS OF ANNUALS",4
"Petunias","Pink","FLATS OF ANNUALS",1
"Petunias","Purple","FLATS OF ANNUALS",1
"Petunias","Red","FLATS OF ANNUALS",0
"Petunias","White","FLATS OF ANNUALS",1
"Petunias","Yellow","FLATS OF ANNUALS",2
"Salvia","Red","FLATS OF ANNUALS",0
"Salvia","Tall Red","FLATS OF ANNUALS",4
"Salvia","Victoria Blue","FLATS OF ANNUALS",2
"Snapdragon","Dwarf Mixed","FLATS OF ANNUALS",9
"Snapdragon","Tall Mixed","FLATS OF ANNUALS",2
"Spikes","","GREENS OR SPIKES - 3.5"" POTS",62
"Sprengeri","","GREENS OR SPIKES - 3.5"" POTS",11
"Streptocarpella - Blue  ","","10"" HANGING BASKETS",5
"Tomatoes","Beefsteak","VEGETABLES  - 4 plants per cluster",20
"Tomatoes","Big Boy","VEGETABLES  - 4 plants per cluster",17
"Tomatoes","Roma","VEGETABLES  - 4 plants per cluster",22
"Tomatoes","Sweet 100 (cherry tomatoes)","VEGETABLES  - 4 plants per cluster",35
"Vinca","Mixed","FLATS OF ANNUALS",2
"Vinca","Red","FLATS OF ANNUALS",0
"Vinca","White/Eye","FLATS OF ANNUALS",0
"Vinca Vine","","GREENS OR SPIKES - 3.5"" POTS",43
"Wave Petunias","Blue Wave (Dark purple)","3"" POTTED WAVE PETUNIAS - 6 pots per pack",10
"Wave Petunias","Pink Wave","3"" POTTED WAVE PETUNIAS - 6 pots per pack",4
"Wave Petunias","Purple Wave (Magenta)","3"" POTTED WAVE PETUNIAS - 6 pots per pack",9
"Wave Petunias","Red Wave","3"" POTTED WAVE PETUNIAS - 6 pots per pack",2
"Wave Petunias","White Wave","3"" POTTED WAVE PETUNIAS - 6 pots per pack",9
"Zinnia","Dwarf Mixed","FLATS OF ANNUALS",5
